Name,Global_Region,Country,Full_Or_Age_Disagg_Data,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Raw_Age_Group,,
Roper (1996),East Africa,Sudan,2,0,0,73,14,0.191781,73,0,0.000000,Old,All Ages,Children&Adults,,
John (2005),East Africa,Kenya,2,1,1,123,13,0.105691,123,10,0.081301,Old,All Ages,Children&Adults,,
John (2005),East Africa,Kenya,2,1,1,267,25,0.093633,267,17,0.063670,Old,All Ages,Children&Adults,,
John (2005),East Africa,Kenya,2,1,1,273,16,0.058608,273,8,0.029304,Old,All Ages,Children&Adults,,
John (2005),East Africa,Kenya,2,1,1,152,9,0.059211,152,2,0.013158,Old,All Ages,Children&Adults,,
John (2005),East Africa,Kenya,2,1,1,228,33,0.144737,228,18,0.078947,Old,All Ages,Children&Adults,,
John (2005),East Africa,Kenya,0,1,1,48,4,0.083333,48,1,0.020833,Old,0-5,0-5years,,
John (2005),East Africa,Kenya,0,1,1,54,9,0.166667,54,4,0.074074,Old,0-5,0-5years,,
John (2005),East Africa,Kenya,0,1,1,71,3,0.042254,71,2,0.028169,Old,5-15years,5-15years,,
John (2005),East Africa,Kenya,0,1,1,63,9,0.142857,63,9,0.142857,Old,5-15years,5-15years,,
John (2005),East Africa,Kenya,0,1,1,154,9,0.058442,154,4,0.025974,Old,15+,15+,,
John (2005),East Africa,Kenya,0,1,1,111,15,0.135135,111,5,0.045045,Old,15+,15+,,
Ofulla (2005),East Africa,Kenya,2,1,1,301,251,0.833887,301,220,0.730897,Old,All Ages,Children&Adults,,
Ofulla (2005),East Africa,Kenya,0,1,1,53,47,0.886792,53,46,0.867925,Old,0-5,0-5,,
Ofulla (2005),East Africa,Kenya,0,1,1,90,86,0.955556,90,82,0.911111,Old,5-15years,5-15years,,
Ofulla (2005),East Africa,Kenya,0,1,1,158,118,0.746835,158,92,0.582278,Old,15+,15+,,
Stich (2006),West Africa,Burkina Faso,2,1,1,201,185,0.920398,201,162,0.805970,Old,All Ages,Children&Adults,,
Alves (2002),South America,Brazil,2,NA,NA,164,16,0.097561,175,4,0.022857,Old,All Ages,Children&Adults,,
Alves (2002),South America,Brazil,2,NA,NA,142,25,0.176056,142,2,0.014085,Old,All Ages,Children&Adults,,
Alves (2002),South America,Brazil,2,NA,NA,125,2,0.016000,125,0,0.000000,Old,All Ages,Children&Adults,,
Alves (2002),South America,Brazil,2,NA,NA,128,58,0.453125,172,10,0.058140,Old,All Ages,Children&Adults,,
Alves (2002),South America,Brazil,0,NA,NA,63,1,0.015873,63,0,0.000000,Old,0-5,0-5,,
Alves (2002),South America,Brazil,0,NA,NA,137,7,0.051095,137,0,0.000000,Old,15+,15+,,
Muller (2001),West Africa,Sao Tome & Principe,2,NA,NA,491,321,0.653768,491,194,0.395112,Old,All Ages,Children&Adults,,
Alves (2006),West Africa,Republic of Cabo Verde,2,NA,NA,338,3,0.008876,338,0,0.000000,Old,All Ages,Children&Adults,,
Alves (2006),West Africa,Republic of Cabo Verde,2,NA,NA,261,10,0.038314,261,0,0.000000,Old,All Ages,Children&Adults,,
Cortes (2004),Oceania,Papua New Guinea,2,NA,NA,628,330,0.525478,628,175,0.278662,Old,All Ages,Children&Adults,,
Cortes (2004),Oceania,Papua New Guinea,0,NA,NA,51,21,0.411765,51,15,0.294118,Old,0-5,0-5,,
Cortes (2004),Oceania,Papua New Guinea,0,NA,NA,258,119,0.461240,258,48,0.186047,Old,15+,15+,,
Roshanravan (2003),South America,Peru,2,NA,NA,819,28,0.034188,819,12,0.014652,Old,All Ages,Children&Adults,,
Zwetyenga  (1998),West Africa,Senegal,2,1,1,143,110,0.769231,143,52,0.363636,Old,All Ages,Children&Adults,,
Zwetyenga  (1998),West Africa,Senegal,0,1,1,36,24,0.666667,36,12,0.333333,Old,0-5,0-5,,
Zwetyenga  (1998),West Africa,Senegal,0,1,1,41,27,0.658537,41,17,0.414634,Old,15+,15+,,
Toma (2001),Asia,Lao PDR,2,NA,NA,143,77,0.538462,143,46,0.321678,Old,All Ages,Children&Adults,,
Toma (2001),Asia,Lao PDR,2,NA,NA,193,20,0.103627,193,7,0.036269,Old,All Ages,Children&Adults,,
Mehlotra  (2002),Oceania,Papua New Guinea,2,NA,NA,340,179,0.526471,1759,352,0.200114,Old,All Ages,Children&Adults,,
Mehlotra (2002),Oceania,Papua New Guinea,2,NA,NA,330,195,0.590909,972,217,0.223251,Old,All Ages,Children&Adults,,
Owusu-Agyei (2002),West Africa,Ghana,2,1,1,308,252,0.818182,308,217,0.704545,Old,All Ages,Children&Adults,,
Owusu-Agyei (2002),West Africa,Ghana,0,1,1,99,80,0.808081,99,74,0.747475,Old,0-5,0-5,,
Owusu-Agyei (2002),West Africa,Ghana,0,1,1,119,86,0.722689,119,70,0.588235,Old,15+,15+,,
Felger (1995),Oceania,Papua New Guinea,2,NA,NA,304,144,0.473684,304,75,0.246711,Old,All Ages,Children&Adults,,
Snounou (1993),West Africa,Guinea Bissau,2,1,1,110,90,0.818182,110,28,0.254545,Old,All Ages,Children&Adults,,
Snounou (1993),West Africa,Guinea Bissau,2,1,1,79,69,0.873418,79,38,0.481013,Old,All Ages,Children&Adults,,
Ntoumi (1995),West Africa,Senegal,2,1,1,65,50,0.769231,65,50,0.769231,Old,All Ages,Children&Adults,,
Marques (2005),East Africa,Mozambique,2,1,1,70,50,0.714286,70,43,0.614286,Old,All Ages,Children&Adults,,
Marques (2005),East Africa,Mozambique,2,1,1,70,55,0.785714,70,43,0.614286,Old,All Ages,Children&Adults,,
Marques (2005),East Africa,Mozambique,2,1,1,81,73,0.901235,81,53,0.654321,Old,All Ages,Children&Adults,,
Marques (2005),East Africa,Mozambique,2,1,1,87,79,0.908046,87,66,0.758621,Old,All Ages,Children&Adults,,
Khaminsou (2007),Asia,Lao PDR,2,NA,NA,130,18,0.138462,130,12,0.092308,Old,All Ages,Children&Adults,,
Khaminsou (2007),Asia,Lao PDR,2,NA,NA,130,32,0.246154,130,22,0.169231,Old,All Ages,Children&Adults,,
Nsobya (2004),East Africa,Uganda,2,1,1,316,114,0.360759,316,55,0.174051,Old,0-5,0-5,,
Touré (2006),West Africa,Gabon,2,1,1,278,58,0.208633,278,20,0.071942,Old,15+,15+,,
Guerra-Neira (2006),West Africa,Equatorial Guinea,2,1,1,36,24,0.666667,36,18,0.500000,Old,All Ages,Children&Adults,,
Guerra-Neira (2006),West Africa,Equatorial Guinea,2,1,1,35,22,0.628571,35,14,0.400000,Old,All Ages,Children&Adults,,
Guerra-Neira (2006),West Africa,Equatorial Guinea,2,1,1,81,50,0.617284,81,40,0.493827,Old,All Ages,Children&Adults,,
Silue (2006),West Africa,Cote d'Ivoire,2,1,1,424,356,0.839623,424,232,0.547170,Old,5-15years,5-15years,,
Kobbe (2006),West Africa,Ghana,2,1,1,962,175,0.181913,1069,158,0.147802,Old,0-5,children only,,
Paganotti (2006),West Africa,Burkina Faso,2,1,1,92,89,0.967391,92,76,0.826087,Old,All Ages,children only 1-10,,
Paganotti (2006),West Africa,Burkina Faso,2,1,1,58,56,0.965517,58,51,0.879310,Old,All Ages,children only 1-10,,
Mayor (2003),East Africa,Mozambique,2,1,1,2538,845,0.332939,2609,357,0.136834,Old,All Ages,,,
Mayor (2003),East Africa,Mozambique,0,1,1,178,76,0.426966,249,34,0.136546,Old,15+,15+,,
Mayor (2003),East Africa,Mozambique,0,1,1,214,146,0.682243,214,75,0.350467,Old,5-15years,5-15years,,
Mayor (2003),East Africa,Mozambique,0,1,1,2146,623,0.290308,2146,248,0.115564,Old,0-5,0-5,,
Vafa (2008),West Africa,Senegal,2,1,1,372,164,0.440860,372,130,0.349462,Old,All Ages,2-10years,,
Vafa (2008),West Africa,Senegal,2,1,1,372,190,0.510753,372,130,0.349462,Old,All Ages,2-10 years,,
Wataya (1993),Oceania,Solomon Islands,2,NA,NA,98,8,0.081633,98,8,0.081633,Old,All Ages,Children&Adults,,
Dal-Bianco (2007),West Africa,Gabon,2,0,1,470,244,0.519149,493,57,0.115619,Old,15+,adults only,,
