n,Global_Region,Country,Full_Or_Age_Disagg_Data,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,Rainy_Or_Dry,Notes on rainy/dry,"(for old papers, admin unit 1)"
,East Africa,Kenya,2,N,,,227,28,0.123348018,229,3,0.01310044,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,225,39,0.173333333,226,20,0.08849558,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,218,73,0.334862385,218,9,0.0412844,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,135,60,0.444444444,58,5,0.0862069,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,398,142,0.35678392,398,134,0.33668342,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,206,45,0.218446602,207,8,0.03864734,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,226,100,0.442477876,226,40,0.17699115,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,247,2,0.008097166,250,2,0.008,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,237,55,0.232067511,237,51,0.21518987,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,189,17,0.08994709,201,2,0.00995025,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,593,167,0.281618887,593,163,0.27487352,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,211,75,0.355450237,219,71,0.32420091,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,0,267,17,0.063670412,285,8,0.02807018,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,221,58,0.262443439,221,59,0.26696833,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,223,112,0.502242152,224,8,0.03571429,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,133,22,0.165413534,133,16,0.12030075,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,254,104,0.409448819,254,83,0.32677165,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,210,59,0.280952381,210,66,0.31428571,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,0,195,29,0.148717949,198,1,0.00505051,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,416,17,0.040865385,416,1,0.00240385,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,205,61,0.297560976,205,62,0.30243902,New,0-18,3-18years,3-18years,,,,
Saenz,South America,Ecuador,2,Y,,,648,4,0.00617284,648,0,0,New,,,Children&Adults,,,,
Sumari,East Africa,Tanzania,2,N,0,1,200,115,0.575,200,16,0.08,New,0-15,5-15years,6-14years,,rainy,"""high season""",
Parker,Asia,Thailand,2,N,,,547,20,0.036563071,547,2,0.003656307,New,,,,,,,
