n,Global_Region,Country,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Rainy_Or_Dry,Notes on rainy/dry,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,"(for old papers, admin unit 1)"
,East Africa,Malawi,N,0,1,183,37,0.202185792,177,27,0.15254237,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,192,26,0.135416667,190,20,0.10526316,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,219,47,0.214611872,219,36,0.16438356,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,229,22,0.096069869,229,23,0.10043668,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,221,69,0.312217195,221,43,0.19457014,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,220,35,0.159090909,220,29,0.13181818,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,298,114,0.382550336,283,79,0.27915194,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,372,117,0.314516129,349,60,0.17191977,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,400,178,0.445,401,141,0.35162095,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,372,106,0.284946237,372,76,0.20430108,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,369,159,0.430894309,368,133,0.36141304,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,427,129,0.302107728,427,85,0.19906323,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,406,79,0.194581281,395,35,0.08860759,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,464,68,0.146551724,461,22,0.04772234,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,486,112,0.230452675,486,63,0.12962963,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,455,71,0.156043956,480,33,0.06875,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,453,133,0.293598234,451,70,0.15521064,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,478,76,0.158995816,479,25,0.05219207,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,163,11,0.067484663,159,14,0.08805031,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,189,9,0.047619048,188,9,0.04787234,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,187,19,0.101604278,189,16,0.08465608,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,169,7,0.041420118,169,2,0.01183432,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,161,17,0.105590062,161,11,0.06832298,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,167,11,0.065868263,167,6,0.03592814,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,215,63,0.293023256,207,44,0.21256039,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,306,63,0.205882353,302,28,0.09271523,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,375,93,0.248,385,69,0.17922078,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,369,54,0.146341463,369,29,0.07859079,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,355,68,0.191549296,355,40,0.11267606,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,420,64,0.152380952,420,39,0.09285714,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,398,44,0.110552764,388,30,0.07731959,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,472,27,0.05720339,468,10,0.02136752,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,465,43,0.092473118,479,21,0.04384134,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,455,15,0.032967033,454,4,0.00881057,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,444,64,0.144144144,444,35,0.07882883,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,443,29,0.065462754,443,12,0.02708804,New,dry,,0-15,,15+,,
